,fluxes,equ,ec-code,kcat_MW,E
R1,4.731534543741819,glc__D_e --> 0.67 BDGLC_e + 0.33 glc__aD_e,,,
R2,0.0,glc__D_c --> 0.67 BDGLC_c + 0.33 Glc_aD_c,,,
R3,0.0,Glc_aD_c --> BDGLC_c,5.1.3.3,625066.5911106146,0.0
R4,0.0,arab__L_c --> BLARAB_c,5.1.3.3,625066.5911106146,0.0
R5,0.0,fru_B_c --> fru_c,5.1.3.3,625066.5911106146,0.0
R6_num1,3.168412278766116,BDGLC_c + atp_c --> adp_c + g6p_B_c + h_c,"2.7.1.1,2.7.1.2",3328.716016409604,0.0009518421707189087
R7,3.168412278766116,g6p_B_c --> f6p_c,5.3.1.9,178726.60190175317,1.7727703906706664e-05
R8,0.0,cit_m --> ac_m + oaa_m,4.1.3.6,,
R9,3.646855551022364,h_c + pyr_c --> acald_c + co2_c,4.1.1.1,2620.0706913561303,0.0013918920443840303
R10_num1,0.0,etoh_c + nad_c --> acald_c + h_c + nadh_c,"1.1.1.1,1.1.1.71",35847.74966462569,0.0
R11_num1,0.0,etoh_c + nadp_c --> acald_c + h_c + nadph_c,"1.1.1.2,1.1.1.71",146385.64505450733,0.0
R12_num1,0.0,etoh_m + nad_m --> acald_m + h_m + nadh_m,"1.1.1.1,1.1.1.71",35996.911166075515,0.0
R13,0.0,h_m + nadh_m + q_m --> nad_m + qh2_m,1.6.5.9,0.7824964540535089,0.0
R14,0.0,h_c + nadh_c + q_m --> nad_c + qh2_m,1.6.5.9,0.7824964540535089,0.0
R15_num1,0.0,2.0 ficytC_m + nadph_c --> 2.0 FERO_m + h_c + nadp_c,1.6.2.4,2310.0093870519213,0.0
R16,1.3468530191236578,h_c + nadph_c + q_m --> nadp_c + qh2_m,1.6.99.1,5362.753650541636,0.00025114952259416693
R17,0.0,fadh2_m + q_m --> fad_m + h_m + qh2_m,1.5.5.1,4316.421762037813,0.0
R18_num1,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,1.15.1.1,6966900.407524609,0.0
R19_num1,0.0,2.0 h_m + 2.0 o2s_m --> h2o2_m + o2_m,1.15.1.1,6966900.407524609,0.0
