gene_id	normalized_counts
MYCTH_2296069	626.2068031
MYCTH_2312863	1014.443207
MYCTH_2087011	2077.99056
MYCTH_2304715	2545.190605
MYCTH_2296905	2836.622034
MYCTH_2308783	2892.544868
MYCTH_2299585	3141.004172
MYCTH_2305128	3303.495238
MYCTH_99178	3337.378778
MYCTH_2301913	3526.287011
MYCTH_2311737	3526.287011
MYCTH_79440	3732.856664
MYCTH_2304085	3995.828918
MYCTH_2301271	4007.583208
MYCTH_2302238	4087.014622
MYCTH_2297482	4289.476271
MYCTH_2297348	4298.202032
MYCTH_2302739	4338.892266
MYCTH_2305979	4378.622965
MYCTH_2298716	4785.675229
MYCTH_2297332	4890.204451
MYCTH_64792	4934.522922
MYCTH_2091488	4943.098756
MYCTH_2298606	4950.385216
MYCTH_2315057	5154.25618
MYCTH_2308596	5229.879444
MYCTH_84302	5383.884632
MYCTH_2303360	5398.27764
MYCTH_2077959	5504.935828
MYCTH_2296277	5573.992282
MYCTH_2312134	5649.765473
MYCTH_2316017	5670.515393
MYCTH_2296824	5673.513937
MYCTH_2315255	5790.18726
MYCTH_2308549	6045.063447
MYCTH_2305621	6066.772901
MYCTH_71369	6170.702414
MYCTH_2299416	6210.972852
MYCTH_2304281	6235.470951
MYCTH_2310059	6341.709343
MYCTH_2308827	6359.910501
MYCTH_2298355	6362.909045
MYCTH_2307929	6382.519518
MYCTH_2301721	6441.380925
MYCTH_2312260	6491.066788
MYCTH_2303682	6493.555579
MYCTH_2300548	6522.491523
MYCTH_2299335	6736.497564
MYCTH_2302001	6763.334527
MYCTH_101411	6800.696377
MYCTH_2316024	6820.486764
MYCTH_2295089	7023.09834
MYCTH_2308258	7052.574021
MYCTH_2301062	7202.411234
MYCTH_2303748	7293.297083
MYCTH_2051026	7313.95105
MYCTH_2089545	7433.38903
MYCTH_2307429	7461.875192
MYCTH_2135152	7536.568907
MYCTH_2294414	7719.420083
MYCTH_2313331	7839.691657
MYCTH_2299031	7957.864252
MYCTH_108157	7968.659008
MYCTH_2314160	7994.116641
MYCTH_2302773	8096.846737
MYCTH_2300156	8110.250226
MYCTH_2299183	8113.908449
MYCTH_2302045	8135.647889
MYCTH_39694	8211.870861
MYCTH_2298464	8280.417563
