Reaction ID,DLKcat
R1745_num1,4724.9686
R1745_reverse_num1,4724.9686
R2074_num2,4724.9686
R2107,4724.9686
R926_num1,4724.9686
R927_num1,4724.9686
R928_num1,4724.9686
R930_num1,4724.9686
R35_num1,2916.2779
R1310,2745.368
R257,2318.1491
R258,2318.1491
R1745_num3,2295.054
R1745_reverse_num3,2295.054
R2074_num4,2295.054
R926_num3,2295.054
R927_num3,2295.054
R928_num3,2295.054
R929_num2,2295.054
R930_num3,2295.054
R134_num1,1557.1389
R1490,1557.1389
R1731_num2,1531.8866
R1732_num2,1531.8866
R1733_num2,1531.8866
R1775_num2,1531.8866
R1779_num2,1531.8866
R2026_num2,1531.8866
R282_num2,1531.8866
R1899_num2,1335.81
R1311,1256.8054
R1364,1256.8054
R1170,812.4229
R1170_reverse,812.4229
R1038,713.9443
R1042,713.9443
R1043,713.9443
R1242,600.2921
R1243_num1,600.2921
R1244_num1,600.2921
R89_num2,557.2147
R1115,554.9716
R1115_reverse,554.9716
R1116,554.9716
R1116_reverse,554.9716
R1117,554.9716
R1117_reverse,554.9716
R133_num2,372.295
R1660_num1,372.295
R1740_num1,372.295
R196_num1,372.295
R196_reverse_num1,372.295
R2040,372.295
R2040_reverse,372.295
R378_num1,372.295
R379_num1,372.295
R380_num1,372.295
R1464,368.7606
R1464_reverse,368.7606
R201,368.7606
R201_reverse,368.7606
R1004_num2,362.1301
R1004_reverse_num2,362.1301
R1033_num1,362.1301
R1033_reverse_num1,362.1301
R1823_num2,362.1301
R1823_reverse_num2,362.1301
R1824_num2,362.1301
R1824_reverse_num2,362.1301
R1891_num2,350.8452
R1892_num2,350.8452
R1896_num2,350.8452
R1899_num1,350.8452
R129,350.6412
R226,350.6412
R888_num2,350.6412
R917_num2,350.6412
R1258_num1,252.8732
R1258_reverse_num1,252.8732
R416_num1,252.8732
R416_reverse_num1,252.8732
R263,248.7106
R1298,241.9121
R1307,241.9121
R1349,241.9121
R1769,241.9121
R1769_reverse,241.9121
R1844,241.9121
R1844_reverse,241.9121
R339,241.9121
R340,241.9121
R1003_num2,228.6985
R1673,218.9007
R1258_num2,218.5894
R1258_reverse_num2,218.5894
R416_num2,218.5894
R416_reverse_num2,218.5894
R90,214.5521
R91,214.5521
R92,214.5521
R1407,198.9391
R1408,198.9391
R1309,177.1257
R35_num2,171.1963
R309,169.8829
R1308,164.3392
R754_num2,159.5801
R905_num1,157.5266
R905_reverse_num1,157.5266
R199_num3,156.2798
R753,153.2165
R753_reverse,153.2165
R2074_num1,152.6496
R850_num1,152.6496
R851_num1,152.6496
R440_num4,142.5136
R1571_num4,124.3739
R1572_num4,124.3739
R1593_num2,124.3739
R1593_reverse_num2,124.3739
R749,122.8861
R749_reverse,122.8861
R1241,121.4469
R938,121.4469
R1274,119.6434
R1274_reverse,119.6434
R1368,119.6434
R1314,118.0679
R1709,117.8271
R10_num9,116.9272
R10_reverse_num9,116.9272
R1039_num3,116.9272
R1041_num3,116.9272
R1041_reverse_num3,116.9272
R1977,116.9272
R1977_reverse,116.9272
R365_num2,116.9272
R438,116.9272
R438_reverse,116.9272
R736_num3,116.9272
R736_reverse_num3,116.9272
R737_num3,116.9272
R75_num3,116.9272
R80_num2,116.9272
R80_reverse_num2,116.9272
R84_num7,116.9272
R881_num3,116.9272
R149,116.3529
R62_num1,115.9353
R62_reverse_num1,115.9353
R277_num3,112.2752
R1263,105.8972
R285,105.8972
R1880,101.9826
R1767_num1,101.7894
R1100,100.9184
R860_num1,99.9788
R861_num1,99.9788
R10_num5,99.828
R10_reverse_num5,99.828
R1039_num2,99.828
R1041_num2,99.828
R1041_reverse_num2,99.828
R1185_num1,99.828
R1185_reverse_num1,99.828
R338_num1,99.828
R338_reverse_num1,99.828
R992_num1,99.828
R2008,94.9191
R816,94.9191
R1444,92.1718
R1662,90.1884
R1668,90.1884
R1668_reverse,90.1884
R2085,90.1884
R2085_reverse,90.1884
R300,90.1702
R300_reverse,90.1702
R302,90.1702
R302_reverse,90.1702
R304,90.1702
R304_reverse,90.1702
R306,90.1702
R306_reverse,90.1702
R318,90.1702
R320,90.1702
R1571_num11,90.1406
R1572_num11,90.1406
R1593_num8,90.1406
R1593_reverse_num8,90.1406
R1098_num2,85.3383
R1098_reverse_num2,85.3383
R1375,74.795
R1375_reverse,74.795
R1180_num2,71.4692
R1817_num2,71.4692
R2073,71.4692
R799,68.9539
R939,68.5533
R1692,67.6785
R2002_num1,66.5821
R2002_reverse_num1,66.5821
R1276,66.2377
R1279_num3,66.2377
R1283,66.2377
R1286_num3,66.2377
R1286_reverse_num3,66.2377
R1313,66.2377
R1326,66.2377
R1327,66.2377
R1327_reverse,66.2377
R1328,66.2377
R1328_reverse,66.2377
R1714,66.2377
R1714_reverse,66.2377
R1128,64.7212
R1129,64.7212
R241_num1,64.4697
R1012_num7,62.9956
R1012_reverse_num7,62.9956
R1188,62.9956
R1188_reverse,62.9956
R1818,62.9956
R1818_reverse,62.9956
R220_num2,62.9956
R220_reverse_num2,62.9956
R247_num6,62.9956
R247_reverse_num6,62.9956
R250,62.9956
R250_reverse,62.9956
R404_num2,62.9956
R404_reverse_num2,62.9956
R412,62.9956
R412_reverse,62.9956
R422_num2,62.9956
R422_reverse_num2,62.9956
R945_num6,62.9956
R1334,60.4651
R1181,59.9397
R1731_num1,59.9397
R1732_num1,59.9397
R1733_num1,59.9397
R1775_num1,59.9397
R1779_num1,59.9397
R2026_num1,59.9397
R2103,59.9397
R282_num1,59.9397
R891,59.9397
R1073,59.3368
R1076,59.3368
R1118,57.881
R1118_reverse,57.881
R1003_num1,57.6538
R1033_num2,57.6538
R1033_reverse_num2,57.6538
R67,56.9617
R1690_num1,56.0975
R1690_reverse_num1,56.0975
R114_num2,56.0116
R1251_num2,56.0116
R1968,55.3996
R733_num1,55.2309
R744,55.2309
R744_reverse,55.2309
R81_num1,55.2309
R81_reverse_num1,55.2309
R83_num1,55.2309
R718,52.4273
R719,52.4273
R724,52.4273
R724_reverse,52.4273
R139_num1,52.3728
R1682_num1,52.3728
R1684,52.3728
R288_num1,52.3728
R53_num2,52.0713
R53_reverse_num2,52.0713
R107,51.8056
R22_num1,51.8056
R259_num1,51.8056
R260_num1,51.8056
R619_num1,51.8056
R796_num1,51.8056
R1179_num3,51.2675
R1179_reverse_num3,51.2675
R1451_num2,51.2675
R146_num7,51.2675
R1470,51.2675
R1756_num7,51.2675
R1757_num4,51.2675
R1843_num7,51.2675
R1843_reverse_num7,51.2675
R2116_num7,51.2675
R223_num7,51.2675
R230_num7,51.2675
R283_num6,51.2675
R284_num6,51.2675
R31_num6,51.2675
R32_num6,51.2675
R33_num6,51.2675
R34_num3,51.2675
R364_num7,51.2675
R364_reverse_num7,51.2675
R78_num7,51.2675
R814_num6,51.2675
R899_num5,51.2675
R899_reverse_num5,51.2675
R1571_num10,50.3319
R1572_num10,50.3319
R1593_num7,50.3319
R1593_reverse_num7,50.3319
R742,49.6318
R1292,49.1855
R1292_reverse,49.1855
R1293,49.1855
R1293_reverse,49.1855
R1295,49.1855
R1296,49.1855
R1300,49.1855
R1304,49.1855
R1304_reverse,49.1855
R1306,49.1855
R1319,49.1855
R1320,49.1855
R1321,49.1855
R1397,49.1855
R1399,49.1855
R1578_num1,49.1855
R425,49.1855
R1336_num2,46.609
R1783,46.3219
R40,46.1795
R40_reverse,46.1795
R1454_num4,43.3549
R161_num2,42.9313
R164_num3,42.9313
R166_num2,42.9313
R166_num3,42.9313
R166_num4,42.9313
R167_num2,42.9313
R167_num3,42.9313
R167_num4,42.9313
R168_num2,42.9313
R168_num3,42.9313
R169_num2,42.9313
R169_num3,42.9313
R2109_num2,42.9313
R1677_num2,42.4398
R1677_reverse_num2,42.4398
R1678_num2,42.4398
R1678_reverse_num2,42.4398
R1593_num6,41.7717
R1593_reverse_num6,41.7717
R1278,40.8509
R1284,40.8509
R1383,40.8509
R1384,40.8509
R447,40.8509
R2108_num2,40.7721
R2108_reverse_num2,40.7721
R234_num2,40.5073
R1074_num2,40.3473
R1077_num2,40.3473
R2120,40.3473
R2120_reverse,40.3473
R114_num1,40.0681
R1251_num1,40.0681
R424,39.9916
R1245,39.7544
R1246,39.7544
R1246_reverse,39.7544
R2108_num3,39.7544
R2108_reverse_num3,39.7544
R292_num5,39.7544
R292_reverse_num5,39.7544
R312,39.7544
R312_reverse,39.7544
R460_num2,39.7544
R638_num5,39.7544
R638_reverse_num5,39.7544
R639_num2,39.7544
R639_reverse_num2,39.7544
R640_num2,39.7544
R640_reverse_num2,39.7544
R654_num5,39.7544
R655_num2,39.7544
R657_num2,39.7544
R659_num5,39.7544
R660_num2,39.7544
R662_num5,39.7544
R663_num2,39.7544
R665_num5,39.7544
R666_num2,39.7544
R668_num5,39.7544
R669_num2,39.7544
R671_num5,39.7544
R672_num2,39.7544
R674_num5,39.7544
R675_num2,39.7544
R677_num5,39.7544
R678_num2,39.7544
R680_num5,39.7544
R681_num2,39.7544
R691_num5,39.7544
R692_num2,39.7544
R692_reverse_num2,39.7544
R694_num5,39.7544
R695_num2,39.7544
R697_num5,39.7544
R697_reverse_num5,39.7544
R698_num2,39.7544
R698_reverse_num2,39.7544
R700_num5,39.7544
R701_num2,39.7544
R703_num5,39.7544
R703_reverse_num5,39.7544
R704_num2,39.7544
R706_num5,39.7544
R707_num2,39.7544
R707_reverse_num2,39.7544
R98_num5,39.7544
R98_reverse_num5,39.7544
R1571_num17,38.4421
R1571_num18,38.4421
R1572_num17,38.4421
R1572_num18,38.4421
R1593_num13,38.4421
R1593_reverse_num13,38.4421
R1555,37.8993
R1555_reverse,37.8993
R2101,37.8993
R2113,37.8993
R904,36.8018
R1098_num3,35.1501
R1098_reverse_num3,35.1501
R854_num2,34.4272
R862_num2,34.4272
R1861_num1,34.3312
R1862_num1,34.3312
R1887_num2,34.3312
R1040,33.6233
R77,33.5845
R98_num7,33.5845
