Unnamed: 0,kcat,MW,kcat_MW
R3,25.5671,36793.9769,2501.538778
R4,25.5671,36793.9769,2501.538778
R5,25.5671,36793.9769,2501.538778
R6_num1,1492.0,53147.1197,101062.86154957894
R7,3330.0,61139.6484,196075.71050408593
R9,580.0,63735.6849,32760.29752054959
R10_num1,7.8391,40044.4954,704.7350633
R11_num1,7.8391,34586.3397,815.9510444
R12_num1,7.8391,39878.5618,707.6674465
R13,23.7012,142620.4546,598.2614502
R14,211.5,142620.4546,5338.645162332837
R15_num1,1.0598,119375.9546,31.96020516
R16,999.0,39657.2384,90687.10139937529
R17,7.8391,70567.0711,399.9140046
R18_num1,7.8391,26105.0495,1081.046025
R19_num1,7.8391,26105.0495,1081.046025
R20_num1,3.0921,295191.072,37.70967707
R21_num1,3.0921,295191.072,37.70967707
R22_num1,51.8056,127975.0616,1457.316431
R23,7.8391,63320.9838,445.6778513
R24,19.4463,37416.9575,1870.988041
R25,999.0,1824937.466,1970.6976633466736
R26_num1,22.7356,69353.7875,1180.154148
R27_num1,22.7356,69353.7875,1180.154148
R28_num1,7.8391,53445.1048,528.0326441000002
R29,1.5961,63735.6849,90.15294978
R30,2.3786,93075.0029,92.00064177
R31_num1,7.8391,53406.4082,528.4152399000002
R32_num1,7.8391,53406.4082,528.4152399000002
R33_num1,7.8391,53406.4082,528.4152399000002
R34_num1,8.4666,54104.278,563.3521253
R35_num1,2916.2779,34693.5495,302609.5799
R36_num1,7.8391,102745.796,274.6658364
R37,12.4939,37571.3111,1197.137887
R38,7.8391,34809.6247,810.7171578
R39,7.8391,34809.6247,810.7171578
R40,230.0,47562.3665,17408.72166232519
R41_num1,9400.0,73876.4409,458062.1316856102
R42_num1,3200.0,56793.678,202839.47801373247
R43_num1,2.246,54038.8324,149.62573469999995
R44,16.5874,54097.4749,1103.834146
R45,3.1115,65626.6479,170.68371399999995
R46,486.0,5229717.448,334.5496228805056
R47,2.2755,86752.0817,94.42770524
R48,2.2755,86752.0817,94.42770524
R49,1.5961,63735.6849,90.15294978
R50,999.0,145251.5424,24759.805924098746
R51,2633.0,44477.713,213113.47550626085
R52,26.9061,59945.162,1615.842826
R53_num1,9.3591,34835.4605,967.1972041
R54,7100.0,27137.7791,941860.4192264208
R55,8000.0,58082.87,495843.2666980815
R56_num1,7.8391,85011.6036,331.9636238
R58,6.6044,29448.4325,807.3720053
R59_num1,2.7787,92730.4675,107.87522450000002
R60,7.8391,28164.8101,1001.986518
R61,410000.0,149842.1156,9850368.129746296
R62_num1,115.9353,35184.9002,11862.10783
R63,7.8391,149842.1156,188.3366361
R64,2.7787,37918.6371,263.8101146
R65_num1,4.7077,28260.1015,599.7048524
R66_num1,4.7077,28260.1015,599.7048524
R67,56.9617,23994.9072,8546.068476
R68_num1,1.5288,51116.6667,107.6689924
R70,1503.0,33614.8929,160964.36826666194
R71,7.8391,65584.2197,430.2980218
R72,1125.0,58082.87,69727.95937941772
R74,999.0,58225.9757,61766.247053203086
R75_num1,19.1322,40239.807,1711.6364399999998
R76,6.8396,30868.2067,797.6673293
R77,33.5845,46213.6639,2616.200271
R78_num1,7.8391,53406.4082,528.4152399000002
R79_num1,7.8391,34586.3397,815.9510444
R80_num1,19.1322,40239.807,1711.6364399999998
R81_num1,55.2309,31551.0372,6301.892351
R82_num1,7.8391,34586.3397,815.9510444
R83_num1,55.2309,31551.0372,6301.892351
R84_num1,7.8391,34586.3397,815.9510444
R85,11.4984,63549.35,651.3715718999998
R86,7.8391,29481.5155,957.2357296
R87,7.8391,29481.5155,957.2357296
R88,7.8391,189788.7404,148.6956494
R89_num1,12.8203,35670.7854,1293.862176
R90,214.5521,50980.3969,15150.67765
R91,214.5521,50980.3969,15150.67765
R92,214.5521,50980.3969,15150.67765
R95_num1,0.2495,42410.0084,21.17896303
R96,2.446,33319.5744,264.2770851
R97_num1,7.8391,34589.943,815.8660452
R98_num1,7.8391,34586.3397,815.9510444
R99_num1,7.8391,34586.3397,815.9510444
R101_num1,8.9416,17667.8208,1821.942862
R102,7.8391,33614.8929,839.5314566
R103,7.8391,42875.0335,658.2096315
R104,121600.0,70471.7434,6211851.429802998
R105,7.8391,37819.2478,746.2009860000002
R106,7.8391,68776.7186,410.3243158
R107,51.8056,127975.0616,1457.316431
R108,60.0,81073.4833,2664.249656089465
R109,7.8391,57701.9049,489.078481
R110,7.8391,51409.0097,548.9458007999998
R111,999.0,141845.5504,25354.337798106917
R112,7.8391,165964.2766,170.04117140000002
R113,7.8391,165964.2766,170.04117140000002
R114_num1,40.0681,52536.6265,2745.611388
R117_num1,171.0,165970.05,3709.10293754807
R118,999.0,4609367.828,780.237146220651
R119_num1,7.8391,66485.8672,424.462539
R121,18.8455,117590.3559,576.9503756
R122,7.8391,82982.1383,340.08234280000005
R124,4.4547,52430.2352,305.8716014
R125,4.4547,52430.2352,305.8716014
R127,18.8455,117590.3559,576.9503756
R128,0.3467,49621.8287,25.15264013
R129,350.6412,39507.8785,31950.79989
R130_num1,7.8391,90680.0393,311.2124809
R131_num1,7.8391,90680.0393,311.2124809
R132,13.2987,35271.9176,1357.321157
R133_num1,13.2987,35271.9176,1357.321157
R134_num1,1557.1389,20629.3008,271734.854
R135,4.7493,64438.4085,265.3305753
R136,4.7493,64438.4085,265.3305753
R137,4.7493,64438.4085,265.3305753
R139_num1,52.3728,58584.6125,3218.286713
R140,1.2205,57112.0991,76.93291035
R141,7.8391,51170.45400000001,551.5049759
R142_num1,7.8391,35100.8068,803.9917761
R143,7.8391,64624.9773,436.6850277
R145,70.0,234572.9855,1074.2925041553858
R146_num1,7.8391,53406.4082,528.4152399000002
R147,7.8391,65191.2394,432.8919079
R148_num1,7.8391,65768.7351,429.0908128
R149,116.3529,44980.5737,9312.252058
R150,8.1485,55013.1869,533.2285158
R151,4.6426,53411.9878,312.9140234
R152_num1,9.1045,198215.664,165.3562556
R153_num1,1.6261,44658.2729,131.0834392
R155_num1,0.6563,53147.1197,44.45546651
R156,7.8391,80429.8322,350.8742867
R157,4.6634,101901.4705,164.7497324
R158_num1,7.8391,41423.5056,681.2740639
R159,26.7472,59761.228,1611.243999
R160_num1,7.8391,49592.2023,569.0563977999999
R161_num1,7.8391,39350.4877,717.1641738
R163_num1,7.8391,38466.6473,733.6423103999998
R164_num1,26.7472,71273.9411,1350.983522
R165_num1,26.7472,104419.8905,922.1415531
R166_num1,26.7472,81453.5287,1182.14547
R167_num1,26.7472,81453.5287,1182.14547
R168_num1,26.7472,63921.0564,1506.3881199999996
R169_num1,26.7472,63921.0564,1506.3881199999996
R170_num1,2.7806,62663.3919,159.7449435
R171,2.7806,72199.8636,138.64513730000002
R172_num1,2.7806,63525.8954,157.57605519999996
R173,2.7806,89753.5935,111.5293506
R174_num1,2.7806,74013.2334,135.248246
R175_num1,2.7806,74013.2334,135.248246
R176_num1,2.7806,62663.3919,159.7449435
R177_num1,1.739,51811.309,120.830763
R178,999.0,74869.1464,48035.808780103835
R179_num1,1.739,83845.5841,74.66582847
R180_num1,1.739,83845.5841,74.66582847
R181,1.739,57428.1888,109.0126666
R182_num1,7.8391,56875.2126,496.18733210000005
R183_num1,7.8391,56875.2126,496.18733210000005
R184_num1,7.8391,38734.0796,728.5770126
R185_num1,171.0,109989.4637,5596.899732860504
R186_num1,1.739,64896.9071,96.46684688
R187_num1,1.2176,69946.97,62.66690323
R188_num1,1.2176,69946.97,62.66690323
R189_num1,1.2176,63747.552,68.76122867
R190_num1,1.2176,63747.552,68.76122867
R191_num1,1.2176,88163.8877,49.71831568
R192,6.3263,248756.5483,91.55409237
R193_num1,6.3263,88163.8877,258.322093
R195,7.8391,52188.0267,540.7516203
R196_num1,372.295,30512.6586,43924.78602
R197_num1,7.8391,62829.1586,449.1666072
R198_num1,7.8391,53445.1048,528.0326441000002
R199_num1,7.8391,63310.1532,445.7540943
R200,7.8391,33928.2322,831.7780847999999
R201,368.7606,10615.7622,125053.4945
R202_num1,7.8391,53219.6928,530.2691262
R203,7.8391,56404.2047,500.3307847
R205,7.8391,51666.5374,546.2096246
R207,7.8391,67821.883,416.1010982
R208,7.8391,67821.883,416.1010982
R209,7.8391,83253.83,338.9725133
R210,2.4071,48362.5293,179.1792143
R211_num1,7.8391,53219.6928,530.2691262
R212,4.7493,64438.4085,265.3305753
R213,4.7493,64438.4085,265.3305753
R214,2.4071,48362.5293,179.1792143
R215_num1,6.5674,34416.4912,686.9567227000001
R216_num1,6.5674,34416.4912,686.9567227000001
R217,4.7493,64438.4085,265.3305753
R218,0.2495,42410.0084,21.17896303
R219,7.8391,99637.3458,283.2347628
R220_num1,1.545,92634.9928,60.04210538
R221,7.8391,71254.4931,396.0558664
R222,7.8391,71254.4931,396.0558664
R223_num1,7.8391,53406.4082,528.4152399000002
R225,14.5229,49628.2549,1053.48133
R226,350.6412,39507.8785,31950.79989
R227,7.8391,56930.4784,495.7056535
R228,7.8391,56930.4784,495.7056535
R230_num1,7.8391,53406.4082,528.4152399000002
R231_num1,7.8391,126739.7085,222.6670736
R234_num1,3.4353,48244.0254,256.3442809
R235,23.1399,37275.2511,2234.824382
R236,1.4023,201909.6598,25.00266706
R237_num1,1.4948,96977.4662,55.49000413
R239_num1,2.4071,48362.5293,179.1792143
R241_num1,64.4697,45244.4449,5129.710852
R242,7.8391,71254.4931,396.0558664
R244,2930.0,50928.6276,207113.37605335357
R246,0.3391,50928.6276,23.97001564
R247_num1,7.8391,70957.5761,397.7131344
R248,1.5586,106412.9172,52.72818515
R249,1.5586,106412.9172,52.72818515
R250,62.9956,92268.2875,2457.877632
R251_num1,1.1939,56547.7427,76.00727801
R252_num1,2.3506,60125.395,140.7418612
R253,3.0921,295191.072,37.70967707
R254_num1,999.0,51718.4183,69538.08948948464
R255_num1,0.1459,128701.6237,4.081067394
R256,20.8735,123572.7127,608.1002702999998
R257,2318.1491,38774.345,215228.3104
R258,2318.1491,38774.345,215228.3104
R259_num1,51.8056,127975.0616,1457.316431
R260_num1,51.8056,127975.0616,1457.316431
R261_num1,25.4575,84970.7332,1078.571369
R263,248.7106,62407.0387,14347.070119999997
R265,0.0592,35959.2778,5.926704123
R270,7.8391,80926.885,348.7192174
R271,7.8391,80926.885,348.7192174
R272,7.8391,61267.9639,460.61201
R273,7.8391,61267.9639,460.61201
R274,2.2430000000000003,27585.9452,292.7142768
R275,7.8391,60933.7306,463.138556
R277_num1,7.8391,27297.6783,1033.815392
R280_num1,7.8391,97887.8883,288.2967494
R281,28.2069,39437.205,2574.848801
R282_num1,59.9397,56201.8874,3839.424795
R283_num1,7.8391,53406.4082,528.4152399000002
R284_num1,7.8391,53406.4082,528.4152399000002
R285,105.8972,62422.5728,6107.24459
R287,2.403,38991.0475,221.86631430000003
R288_num1,52.3728,58584.6125,3218.286713
R289,0.3662,53359.415,24.70641779
R290,1.2205,57112.0991,76.93291035
R291,2.8743,36759.7025,281.4897645
R292_num1,7.8391,30467.7696,926.2496195
R298_num1,7.8391,246109.1851,114.6676423
R299,7.8391,239463.9382,117.8497281
R300,90.1702,53784.6712,6035.413302
R302,90.1702,53784.6712,6035.413302
R304,90.1702,53784.6712,6035.413302
R306,90.1702,53784.6712,6035.413302
R308,3.7978,12255.3223,1115.603463
R309,169.8829,35802.7446,17081.887069999993
R310,10.6687,38062.637,1009.055678
R311,1.801,44005.0571,147.33761130000005
R312,39.7544,96378.0151,1484.942804
R315_num1,2.8415,43746.0026,233.8362226
R318,90.1702,53784.6712,6035.413302
R320,90.1702,53784.6712,6035.413302
R325_num1,4.9006,57725.8019,305.62000730000005
R326,9.5015,93844.5619,364.4899535
R327,9.5015,93844.5619,364.4899535
R328,0.8771,40942.4352,77.12193924
R329,9.6903,47107.5013,740.5419315
R330,9.6903,47107.5013,740.5419315
R331,25.3986,74134.0543,1233.373257
R332_num1,7.8391,32493.3604,868.5085092
R333,7.0052,46559.1249,541.6493556
R334,7.5343,38991.7255,695.6214338
R335,1.5961,63735.6849,90.15294978
R336,22.0737,76949.4286,1032.695388
R337,1.5961,63735.6849,90.15294978
R338_num1,99.828,40479.8233,8878.022943
R339,241.9121,150790.2129,5775.464755
R340,241.9121,150790.2129,5775.464755
R341,7.8391,57199.2934,493.3760248
R342,7.8391,57199.2934,493.3760248
R343,7.8391,57199.2934,493.3760248
R344,7.8391,42808.207,659.2371411
R345,7.8391,42808.207,659.2371411
R346,7.8391,42808.207,659.2371411
R347_num1,7.8391,67104.086,420.55203610000007
R348,7.8391,33614.8929,839.5314566
R349_num1,1.0134,39451.5364,92.4739651
