,gene_id,normalized_counts,Mass
0,MYCTH_2296069,626.2068031,20731
1,MYCTH_2312863,1014.443207,179184
2,MYCTH_2087011,2077.99056,55806
3,MYCTH_2304715,2545.1906050000002,167954
4,MYCTH_2296905,2836.622034,51797
5,MYCTH_2308783,2892.544868,21600
6,MYCTH_2299585,3141.004172,36008
7,MYCTH_2305128,3303.495238,9885
8,MYCTH_99178,3337.3787780000002,26481
9,MYCTH_2301913,3526.287011,34883
10,MYCTH_2311737,3526.287011,62029
11,MYCTH_79440,3732.856664,9400
12,MYCTH_2304085,3995.828918,84664
13,MYCTH_2301271,4007.583208,165066
14,MYCTH_2302238,4087.0146219999997,42018
15,MYCTH_2297482,4289.476271,165858
16,MYCTH_2297348,4298.202032,28051
17,MYCTH_2302739,4338.892266,35443
18,MYCTH_2305979,4378.622965,56706
19,MYCTH_2298716,4785.6752289999995,60587
20,MYCTH_2297332,4890.204451,93138
21,MYCTH_64792,4934.522922,79723
22,MYCTH_2091488,4943.098756,31429
23,MYCTH_2298606,4950.385216,63358
24,MYCTH_2315057,5154.256179999999,63135
25,MYCTH_2308596,5229.879444,32477
26,MYCTH_84302,5383.884632,39667
27,MYCTH_2303360,5398.27764,33404
28,MYCTH_2077959,5504.935828,36427
29,MYCTH_2296277,5573.992282,35373
30,MYCTH_2312134,5649.7654729999995,99319
31,MYCTH_2316017,5670.515393,11609
32,MYCTH_2296824,5673.513937,170698
33,MYCTH_2315255,5790.18726,22161
34,MYCTH_2308549,6045.0634469999995,140907
35,MYCTH_2305621,6066.772900999999,53224
36,MYCTH_71369,6170.702414,14654
37,MYCTH_2299416,6210.972852,39697
38,MYCTH_2304281,6235.470951,196665
39,MYCTH_2310059,6341.7093429999995,121803
40,MYCTH_2308827,6359.910500999999,124934
41,MYCTH_2298355,6362.909045,26999
42,MYCTH_2307929,6382.519518,57734
43,MYCTH_2301721,6441.380925,48345
44,MYCTH_2312260,6491.066788,41285
45,MYCTH_2303682,6493.555579,98616
46,MYCTH_2300548,6522.491523,35915
47,MYCTH_2299335,6736.497564,56307
48,MYCTH_2302001,6763.334527,32661
49,MYCTH_101411,6800.696376999999,88165
50,MYCTH_2316024,6820.486764,20220
51,MYCTH_2295089,7023.0983400000005,18748
52,MYCTH_2308258,7052.574020999999,135843
53,MYCTH_2301062,7202.411234,68630
54,MYCTH_2303748,7293.2970829999995,74204
55,MYCTH_2051026,7313.95105,103337
56,MYCTH_2089545,7433.389029999999,40308
57,MYCTH_2307429,7461.875192,58441
